,link,most_freq_positioning
8006,river severn,top
8007,river thames,top
8008,river volga,center-top
8009,riverbed,center
8010,riverless,center
8011,rivers,top
8012,riyadh,top
8013,rm,center
8014,rmb,center-top
8015,rmb¥,center-top
8016,rms titanic,center-top
8017,rn,center-top
8018,roads,bottom
8019,roald amundsen,top
8020,robert baden-powell,top
8021,robert boyle,top
8022,"robert gascoyne-cecil, 3rd marquess of salisbury",center-top
8023,robert oppenheimer,top
8024,robert owen,top
8025,robert peel,top
8026,robert schumann,center-bottom
8027,robert stephenson,center-top
8028,robinson crusoe,center
8029,roc flag,center-top
8030,roche limit,center-top
8031,rock of gibraltar,center-top
8032,rock pigeon,top
8033,rock pigeons,bottom
8034,rockall,bottom
8035,rocket,top
8036,rockies,bottom
8037,rocky mountain region,top
8038,rocky mountains,top
8039,rococo,center-top
8040,rodin,bottom
8041,rogers,center-top
8042,roland garros,center-top
8043,roman,top
8044,roman alphabet,center-bottom
8045,roman britain,center-top
8046,roman catholic,top
8047,roman catholic church,top
8048,roman catholic papacy,center-top
8049,roman catholicism,top
8050,roman catholics,center
8051,roman civilization,top
8052,roman deities,top
8053,roman emperor,top
8054,roman emperors,center-top
8055,roman empire,top
8056,roman era,top
8057,roman god,top
8058,roman goddess,top
8059,roman gods,top
8060,roman history,top
8061,roman imperial,top
8062,roman law,center-top
8063,roman legal code,top
8064,roman letters,bottom
8065,roman myth,bottom
8066,roman mythology,top
8067,roman mythos,center
8068,roman occupation,top
8069,roman pantheon,top
8070,roman period,center-top
8071,roman province,center-top
8072,roman religion,center-top
8073,roman road,top
8074,roman roads,center
8075,roman script,top
8076,roman state,top
8077,roman villa,top
8078,roman villas,top
8079,romania,bottom
8080,romania child sponsorship,center-bottom
8081,romanian,center-top
8082,romanians,center
8083,romans,top
8084,romantic,top
8085,romantic current,center-bottom
8086,romantic currents,center-bottom
8087,romantic era,center-top
8088,romantic movement,top
8089,romantic poets,center-top
8090,romanticism,center-top
8091,romantics,center-bottom
8092,rome,top
8093,romeo,center-bottom
8094,romeo and juliet,top
8095,rommel,center-bottom
8096,romulus augustus,top
8097,ronald reagan,bottom
8098,rooks,center-top
8099,roosevelt,center-bottom
8100,rosa parks,center-top
8101,rose-ringed parakeets,bottom
8102,rosemary,center-bottom
8103,rosetta stone,top
8104,rot13,center-bottom
8105,rotterdam,center-top
8106,round brilliants,center-top
8107,rousseau,top
8108,rousseauian,center-bottom
8109,rowan williams,center-top
8110,royal,center-bottom
8111,royal air force,center-top
8112,royal dutch shell,center
8113,royal dutch/shell,center
8114,royal family,center-top
8115,royal geographical society,center-top
8116,royal marines,center
8117,royal national theatre,center-bottom
8118,royal navy,top
8119,royal navy's,top
8120,royal parks,top
8121,royal parks of london,top
8122,royal power,top
8123,royalist,top
8124,rs,center
8125,rs.,center
8126,rss,center
8127,rubens,center
8128,rubidium,center-bottom
8129,rubik's cube,center-bottom
8130,rudyard kipling,center
8131,rugby,bottom
8132,rugby football,bottom
8133,rugby world cup,bottom
8134,rugby world cups,bottom
8135,rule,center
8136,rule of st benedict,center-top
8137,rules,center-top
8138,rumblings of secession,top
8139,runaway greenhouse effect,center-bottom
8140,rupees,center-bottom
8141,rural communes,top
8142,russ.,top
8143,russell,center-top
8144,russia,top
8145,russia child sponsorship,center-bottom
8146,russia's,top
8147,russia's catherine the great,top
8148,russian,top
8149,russian capital,center
8150,russian constitutional crisis of 1993,center-top
8151,russian empire,top
8152,russian federation,top
8153,russian folklore,center-top
8154,russian georgia,center
8155,russian invasion of 1920,top
8156,russian language,center
8157,russian revolution,top
8158,russian revolution of 1917,top
8159,russians,top
8160,ruth@soschildren.org,center-top
8161,ruthenium,bottom
8162,rutherford,top
8163,rutherford b. hayes,top
8164,rwanda,bottom
8165,rwanda child sponsorship,center-bottom
8166,rwandan,center
8167,rwandan genocide,top
8168,rwandans,center-top
8169,réunion,center-bottom
8170,réunion island,top
8171,rām,center
8172,rāma,top
8173,rāmāyana,center
8174,rāmāyaṇa,center-top
8175,s,top
8176,s.a.r. of macau,top
8177,s.ansari@btinternet.com,center-top
8178,safe water,center
8179,safflower,center-top
8180,saffron,top
8181,sagan,center
8182,sage,center-bottom
8183,sahara,center
8184,saharan,top
8185,saigon,center-top
8186,saint augustine,center-top
8187,saint columba,top
8188,saint helena,center-bottom
8189,saint joan,center
8190,saint kitts and nevis,bottom
8191,saint lawrence seaway,center-bottom
8192,saint lucia,bottom
8193,saint paul,center-top
8194,saint paul the apostle,top
8195,saint petersburg,top
8196,saint vincent and the grenadines,bottom
8197,saint-pierre and miquelon,bottom
8198,saint helena,bottom
8199,saladin,center-bottom
8200,saladin's grave in damascus,bottom
8201,salford,top
8202,salination,center
8203,saline,center-top
8204,saline water,top
8205,salinity,bottom
8206,salisbury,bottom
8207,salmo trutta,center-bottom
8208,salsa,bottom
8209,salsa music,center-bottom
8210,salt,top
8211,salt lake,top
8212,salt lake city,center-top
8213,"salt lake city, utah",bottom
8214,salt water,top
8215,saltasaurus,center-top
8216,saltpeter,top
8217,saltpetre,center-bottom
8218,salts,top
8219,saltwater,top
8220,salty,center-top
8221,salvador dalí,center-bottom
8222,salvadoran,center
8223,salvadorans,center
8224,samarium,bottom
8225,same region,center-top
8226,samoa,top
8227,samoan,center-top
8228,samoans,center
8229,samuel beckett,bottom
8230,samuel taylor coleridge,center
8231,san diegan,center-bottom
8232,san diego and arizona railway,top
8233,san diego electric railway,bottom
8234,san francisco,top
8235,san francisco county,center-top
8236,"san francisco, california",center
8237,san jose,bottom
8238,"san jose, california",top
8239,san marino,bottom
8240,sand,top
8241,sand castle,bottom
8242,sand castles,center
8243,sand dunes,center
8244,sandbased,top
8245,sandringham,top
8246,sandringham estate,top
8247,sandringham house,center-bottom
8248,sands,center
8249,sandy,top
8250,sandy koufax,bottom
8251,sanitary products,top
8252,sanskrit,top
8253,sanskritised,center-bottom
8254,sanssouci,center
8255,santa,bottom
8256,santa claus,center-bottom
8257,santa cruz,bottom
8258,santiago,top
8259,santiago centro,center-bottom
8260,"santiago, chile",bottom
8261,santo domingo,center-bottom
8262,santorini,bottom
8263,sarajevo,center
8264,sardar vallabhbhai patel,center-top
8265,sassanian,top
8266,sassanid,center-top
8267,sassanid empire,top
8268,sassanids,top
8269,saturn,top
8270,saturn v,top
8271,saudi,center
8272,saudi arabia,bottom
8273,saudi arabian,bottom
8274,saudi arabia,bottom
8275,saurischia,center
8276,saurischian,center
8277,saurischians,top
8278,sauropodomorpha,center
8279,sauropodomorphs,center-top
8280,sauroposeidon,center-top
8281,sauropsid,bottom
8282,sauropsida,center-top
8283,sauropsids,center-bottom
8284,sax,center-bottom
8285,saxophone,center-bottom
8286,saxophones,top
8287,sb,center-bottom
8288,scandium,center-top
8289,scanian,top
8290,scattered disc,top
8291,scattered disk object,center-top
8292,scelidosaurus,center-top
8293,scenes from genesis,top
8294,scheme,center
8295,scheme programming language,center
8296,schizophrenia,center-bottom
8297,schizophrenic,top
8298,schizophrenic's,top
8299,schizophrenics,bottom
8300,school,center-top
8301,school fundraising pages,center-bottom
8302,schools keepy uppy resources,center-bottom
8303,schools@worldorphanweek.com,center-top
8304,schrödinger,center-bottom
8305,schrödinger equation,top
8306,schrödinger wave equation,center
8307,schubert,center
8308,schumann,bottom
8309,schumannesque,bottom
8310,science,top
8311,science and technology,center
8312,sciences,top
8313,scientific,top
8314,scientific classification,center-bottom
8315,scientific history,top
8316,scientific inquiry,top
8317,scientific name,center-top
8318,scientific study,top
8319,scientific understanding of atmospheric processes,top
8320,scientifically,top
8321,scientists,top
8322,"scolari, maniche and madaíl become fifa/sos ambassadors",center
8323,scooby-doo,center-top
8324,scorbutic,center-top
8325,scoring,top
8326,scoring system and service,top
8327,scot,top
8328,scotland,top
8329,scots,top
8330,scots gaelic,bottom
8331,scots language,bottom
8332,scott,center
8333,scottish,top
8334,scottish episcopal,center-top
8335,scottish episcopal church,bottom
8336,scottish episcopalian,center
8337,scottish gaelic,top
8338,scottish highlands,top
8339,scottish mythology,top
8340,scousers,center-top
8341,scout,top
8342,scout groups,center
8343,scout movement,center-top
8344,scouting,top
8345,scouts,top
8346,scramble for africa,center-bottom
8347,screw,center-top
8348,scripture,top
8349,scrooge mcduck,center
8350,sculptor,top
8351,sculptors,bottom
8352,sculpture,center-bottom
8353,sculpture in the round,bottom
8354,sculptures,center
8355,scuptors,center-bottom
8356,scurvy,bottom
8357,sea,top
8358,sea level,center
8359,sea level change,center-bottom
8360,sea level rise,bottom
8361,sea level rose,top
8362,sea levels,center-bottom
8363,sea levels rise,bottom
8364,sea of galilee,center
8365,sea-coal,center-bottom
8366,seagull,center
8367,sean connery,center-top
8368,seas,top
8369,season,top
8370,seasonal,center-top
8371,seasonal snow,bottom
8372,seasonally,top
8373,seasons,center-top
8374,seat,center-bottom
8375,seattle,bottom
8376,"seattle, washington",bottom
8377,seawater,top
8378,seaway,center
8379,secant,center
8380,second,center
8381,second anglo-boer war,top
8382,second battle of smolensk,bottom
8383,second boer war,top
8384,second century,center-top
8385,second concert,center-bottom
8386,second congo war,top
8387,second congo wars,center-bottom
8388,second crusade,top
8389,second major offensive,bottom
8390,second world war,top
8391,second world war (1939-1945),top
8392,second world wars,center-top
8393,section,top
8394,"secure direct
debit",top
8395,secure donation,top
8396,secure online child sponsorship,center-top
8397,secure online donation,top
8398,security below,center-top
8399,sedna,center-top
8400,see below,center
8401,see list below,center-top
8402,see note below,center
8403,see picture,center-top
8404,see spelling below,top
8405,seed,top
8406,seeded,center-top
8407,seeds,top
8408,seinfeld,bottom
8409,seismic,center-bottom
8410,seismic activity,center-top
8411,seized control,top
8412,selected,center-top
8413,selection,bottom
8414,selection of ideas,center-bottom
8415,selection pressure,center-top
8416,selective,center
8417,selective advantage,top
8418,selena,bottom
8419,selenium,center-top
8420,semiconductivity,bottom
8421,semiconductor,top
8422,semiconductor device,top
8423,semiconductor devices,top
8424,semiconductors,top
8425,senate,top
8426,senate of canada,center
8427,senator,top
8428,senators,center-top
8429,sendero luminoso,center
8430,senegal,bottom
8431,senegal child sponsorship,center-bottom
8432,senegalese,center-bottom
8433,senufo,bottom
8434,seoul,top
8435,september 11,center-bottom
8436,september 11 attacks,center-bottom
8437,september 11 terrorist attacks,center
8438,"september 11, 2001",bottom
8439,"september 11, 2001 attacks",center-bottom
8440,"september 11, 2001 terrorist attacks",center
8441,september 11th attacks,center-top
8442,september 11th terror attacks,center-bottom
8443,september 11th terrorist attacks,center
8444,"september 11, 2001",bottom
8445,september–october 1993 constitutional crisis,bottom
8446,sequence alignment,top
8447,serbia,bottom
8448,serbia and montenegro,top
8449,serbian,top
8450,serenity,center-bottom
8451,series of five books,top
8452,sermon on the mount,center-top
8453,sesame,center
8454,sesame street,bottom
8455,sesame street monopoly,center-bottom
8456,set,top
8457,sets,bottom
8458,settle,center-top
8459,seven million years ago,bottom
8460,seventeenth,top
8461,seventeenth century,top
8462,seventh,top
8463,seventh century,top
8464,seventh century ad,top
8465,seventh longest,top
8466,several invasions of russia,top
8467,several states,top
8468,several wars,top
8469,severn,bottom
8470,severn crossing,center-top
8471,severn valley,top
8472,sex,top
8473,seychelles,bottom
8474,seychellois,top
8475,sgt. pepper,center
8476,sgt. pepper's lonely hearts club band,center-bottom
8477,shackleton crater,center
8478,shaka,top
8479,shakespeare,top
8480,shakespeare's,center
8481,shakespeare's tragedies,center
8482,shakespeare-inspired,center-top
8483,shakespearean,top
8484,shanghai,center-top
8485,share,center-top
8486,shark,top
8487,sharks,center-top
8488,sharkskin,center-bottom
8489,sheffield,center
8490,sheikh mujibur rahman,top
8491,shelduck,center-bottom
8492,shelducks,center-top
8493,shell,bottom
8494,shenzhou 6,center-bottom
8495,shenzhou spacecraft,top
8496,sherman,center
8497,sherman's,center
8498,shetland,center-top
8499,shielded metal arc welding,top
8500,shining path,bottom
8501,shinto,bottom
8502,shintoist,center-bottom
8503,ship,top
8504,ships,top
8505,ships of the same name,top
8506,shoemaker levy,center-bottom
8507,shoemaker-levy 9,bottom
8508,short-beaked echidna,top
8509,shoshone national forest,center-bottom
8510,shrine of remembrance,bottom
8511,shroud of turin,bottom
8512,shuddha,center-top
8513,shuttle,center-top
8514,si,center
8515,siam,top
8516,siamese,top
8517,sichuan pepper,center-bottom
8518,sichuan peppercorn,top
8519,sickle-cell disease,bottom
8520,siddharta gautama,top
8521,siddhartha gautama,top
8522,siege,top
8523,siege equipment,center-top
8524,siege warfare,center-bottom
8525,sieges,top
8526,sierra leone,bottom
8527,sierra leone child sponsorship,center-bottom
8528,sierra leonean,center-bottom
8529,sierra leone,bottom
8530,sigmund freud,bottom
8531,sikh,center-top
8532,sikh religion,center-bottom
8533,sikhism,bottom
8534,sikhs,center-bottom
8535,sikkim,top
8536,sikkimese,center-bottom
8537,silent film,top
8538,silent films,top
8539,silent-film,top
8540,silicon,center-top
8541,silurian,top
8542,silurian period,center-bottom
8543,silver,center-bottom
8544,simpsons,center-bottom
8545,simón bolivar,top
8546,simón bolívar,center-top
8547,sinclair,center-top
8548,sine,bottom
8549,singapore,top
8550,singaporean,center-top
8551,sir arthur sullivan,bottom
8552,sir arthur wellesley,top
8553,sir christopher wren,bottom
8554,sir edmund hillary,center-bottom
8555,sir francis bacon,center-top
8556,sir humphry davy,center-top
8557,sir isaac newton,center
8558,sir j.j. thomson,top
8559,sir john vanbrugh,center-bottom
8560,sir robert peel,center-top
8561,sir thomas more,center-top
8562,sir tim berners-lee,center-bottom
8563,sir walter raleigh,top
8564,sir walter scott,center
8565,sir winston churchill,center-bottom
8566,sirius,top
8567,sitting bull,top
8568,situation of women in india,center-bottom
8569,six-villages,center-bottom
8570,sixteenth,center-top
8571,sixteenth centuries,top
8572,sixteenth century,top
8573,sixth,center-top
8574,sixth century,top
8575,ska,top
8576,sketches,top
8577,ski,center
8578,skier,center-bottom
8579,skiers,center
8580,skiing,bottom
8581,skylark,center-top
8582,skåneland,top
8583,slave,top
8584,slave labor,bottom
8585,slave labour,center-top
8586,slave rights,center-top
8587,slave trade,top
8588,slave-trading,top
8589,slavery,top
8590,slaves,top
8591,slavic,center-top
8592,slavic religion and mythology,center-bottom
8593,sleep,top
8594,sleeping,top
8595,slovak,center-top
8596,slovakia,bottom
8597,slovakia's,center-bottom
8598,slovakian,center
8599,slovenia,bottom
8600,slovenian,center
8601,smallpox,center-top
8602,smiths,center-bottom
8603,smog,center-top
8604,smoggy,center
8605,smoked,top
8606,smoker,center-bottom
8607,smoking,center
8608,sn,top
8609,snow,top
8610,snow flakes,center-bottom
8611,snow geese,top
8612,snow goose,center-top
8613,snowball earth,center
8614,snowdonia,center
8615,snowdonia national park,top
8616,snowfall,center-top
8617,snowfalls,top
8618,snowflake,center-top
8619,snowflakes,center
8620,snowman of the himalayas,top
8621,snows,center-top
8622,snuff,top
8623,snus,top
8624,soccer,bottom
8625,social,top
8626,social and religious controversies,top
8627,social anxiety,center
8628,social capital,center
8629,social contract,center-top
8630,social theory,center-top
8631,socialism,top
8632,socialist,top
8633,socialist movement,top
8634,socialist system,top
8635,socialists,center-bottom
8636,societies,top
8637,society,top
8638,society of merchant venturers,center-bottom
8639,society’s,top
8640,sociocultural evolution,bottom
8641,sociological,bottom
8642,sociologist,center
8643,sociologists,top
8644,sociology,top
8645,socrates,top
8646,sodium,center
8647,sodium hydroxide,center-top
8648,sodium sulfate,top
8649,software for computer games,center-bottom
8650,soil,top
8651,soil degradation,center
8652,soil ph,center-top
8653,soil profile,center
8654,soil salination,center-bottom
8655,soil science,bottom
8656,soil structure,center-top
8657,soils,center-top
8658,soils retrogression and degradation,center-top
8659,solar,center-top
8660,solar eclipse,top
8661,solar eclipses,center
8662,solar system,top
8663,solar systems,bottom
8664,solar-eclipse,center-top
8665,solid-waste treatment,center
8666,solomon islands,top
8667,somali,top
8668,somalia,bottom
8669,somalia child sponsorship,center
8670,somalis,bottom
8671,somme,bottom
8672,son,top
8673,song thrush,center-bottom
8674,sonic the hedgehog,top
8675,sony,center-top
8676,sorghum,center
8677,sorrel,center-top
8678,sos children and the fa,center-bottom
8679,sos children frequently asked questions,center
8680,sos children london marathon,center-bottom
8681,"sos children update on sos children’s villages tlokweng and francistown, botswana",center-bottom
8682,sos children's partnership with hsbc,center-bottom
8683,"sos children’s village basse, gambia",center-top
8684,sos children’s village tema,center
8685,"sos children’s village tema, ghana",center-bottom
8686,sos children’s villages albania,center-top
8687,sos children’s villages armenia,center-top
8688,sos children’s villages in the gambia,center-bottom
8689,sos children’s wikipedia,top
8690,sos children’s world,center-top
8691,"sos community social centre qwa qwa, south africa",bottom
8692,sos events,center-bottom
8693,"sos primary school, basse, the gambia",center
8694,"sos social centre lilongwe, malawi",center-bottom
8695,"sos social centre lilongwe, malawi (slowly but surely: step by step)",bottom
8696,"sos social centre mamelodi (partnership with ""tateni"" home-based care organisation)",center-bottom
8697,"sos social centre nelspruit, south africa (partnership with siyasitana home based care group)",center-bottom
8698,sos world cup news pages,center
8699,sos' partnership with fifa,center-bottom
8700,sos/fifa ‘6 villages for 2006’ campaign,center-top
8701,soukous,bottom
8702,sound,top
8703,sound waves,top
8704,sounds,top
8705,soup,center-bottom
8706,soups,center
8707,south,center-top
8708,south africa,center-bottom
8709,south africa child sponsorship,center-bottom
8710,south african,top
8711,south african history,top
8712,south africans,center-bottom
8713,south america,top
8714,south american,top
8715,south american anteaters,top
8716,south asians,center-bottom
8717,south atlantic,center-top
8718,south china sea,top
8719,south china seas,center-top
8720,south georgia,center
8721,south georgia and the south sandwich islands,top
8722,south georgia island,center-bottom
8723,south greece,center-bottom
8724,south korea,center-bottom
8725,south korea child sponsorship,center
8726,south korean,center-bottom
8727,south koreans,center
8728,south of the sahara,top
8729,south ossetia,center-top
8730,south pacific,top
8731,south pacific ocean,top
8732,south sandwich islands,top
8733,south sea,top
8734,south slavic states,top
8735,south wales,center
8736,south west pacific,center-bottom
8737,south-west africa,center-top
8738,southampton,top
8739,southern,top
8740,southern africa,top
8741,southern africa's,bottom
8742,southern african,center-bottom
8743,southern culture,top
8744,southern ocean,top
8745,southern oscillation,center-bottom
8746,southern rocky mountains,top
8747,southern states,bottom
8748,southern sudan,center
8749,southern united states,top
8750,southern-swedish,top
8751,southerners,top
8752,southwest asian,top
8753,south africa,bottom
8754,south georgia and the south sandwich islands,bottom
8755,sovereign,top
8756,sovereign base areas,top
8757,sovereign states,center-bottom
8758,soviet,top
8759,soviet armies,top
8760,soviet regime,bottom
8761,soviet sector,top
8762,soviet state,top
8763,soviet union,top
8764,soviet-era russia,center
8765,soviets,top
8766,soy,center-top
8767,soya,center-top
8768,soybean,center-top
8769,soybeans,center
8770,space,center-top
8771,space exploration,center-bottom
8772,space exploration missions,top
8773,space invaders,top
8774,space race,top
8775,space shuttle,bottom
8776,space shuttle challenger,bottom
8777,space shuttle challenger disaster,top
8778,space shuttle columbia,top
8779,space shuttle columbia disaster,bottom
8780,space shuttle endeavour,center
8781,space shuttle program,top
8782,space shuttles,center-bottom
8783,space station,center-bottom
8784,space stations,bottom
8785,space suits,top
8786,spacecraft propulsion,center-bottom
8787,spagyrists,center-bottom
8788,spain,top
8789,spaniard,center
8790,spaniards,top
8791,spanish,top
8792,spanish armada,top
8793,spanish conquest,center-bottom
8794,spanish inquisition,top
8795,spanish inquistors,center-top
8796,spanish language,top
8797,spanish mainland,center-top
8798,spanish music,bottom
8799,spanish name,top
8800,spanish-speaking,center
8801,sparrow,top
8802,sparrowhawk,bottom
8803,sparrowhawks,center-top
8804,sparrows,bottom
8805,speaker,top
8806,speaker of parliament,center-bottom
8807,speaker of the house,top
8808,speaker of the house of commons,center
8809,speaker of the house of representatives,bottom
8810,speaker of the united states house of representatives,bottom
8811,special,center-top
8812,special relativity,top
8813,special situations,center-bottom
8814,special theory of relativity,center-bottom
8815,species table,top
8816,specific,bottom
8817,spectacle,center-bottom
8818,spectacles,center
8819,spectroscopic binaries,center-bottom
8820,spectroscopically,center
8821,speech synthesis,center-bottom
8822,speech synthesizer,top
8823,speed of c,top
8824,speed of light,center
8825,speed-of-light,center-top
8826,sperm whale,center-top
8827,sphagnum bogs,center
8828,sphere,center-bottom
8829,spheres,top
8830,spherical,top
8831,spherical aberration,top
8832,spherically,center-bottom
8833,spider,center-bottom
8834,spiders,center-bottom
8835,spinosaurus,bottom
8836,spinoza,top
8837,spirit of the american doughboy,bottom
8838,spirits,top
8839,spitfire,center-top
8840,spitfire ii,center-top
8841,spitfires,top
8842,split,top
8843,split infinitives,center
8844,sponsor,bottom
8845,sponsor a child,top
8846,sponsor a child in palestine,center
8847,sponsor a child in rwanda,center-bottom
8848,sponsor a child in sudan,center-bottom
8849,sponsor a child in uganda,center
8850,sponsor online here,top
8851,sponsor online here for uk donors,center-top
8852,sponsor/child testimonials,center-bottom
8853,sponsoredevents@worldorphanweek.com,center-bottom
8854,sponsoring a child,center
8855,sponsoring with sos children,center-top
8856,sponsors,top
8857,sponsorship,center-bottom
8858,"sponsorship - sos children's village bogota, colombia",center-bottom
8859,sponsorship directory,center
8860,sponsorship faqs,center-bottom
8861,sponsorship focus,center-top
8862,sponsorship form,center-bottom
8863,sport,top
8864,sporting,top
8865,sporting events,top
8866,sports,top
8867,spreading globally,top
8868,spring,center-top
8869,spring heeled jack,top
8870,spring tide,center-top
8871,springs,top
8872,springtime,center-top
8873,spurs,top
8874,spurs-sos partnership,center-top
8875,sputnik,center-top
8876,sputnik 1,top
8877,sputnik 2,top
8878,sputnik program,center-top
8879,sputniks 1,top
8880,spyware,center-bottom
8881,squash,bottom
8882,squash court,top
8883,sr,center
8884,sr-71 blackbird,center
8885,sri lanka,bottom
8886,sri lanka child sponsorship,center-bottom
8887,sri lankan,top
8888,sri lankans,bottom
8889,st augustine,center-bottom
8890,st edward the confessor,top
8891,st francis,top
8892,st helena,center-top
8893,st mary of the angels,center-top
8894,st paul,top
8895,st paul's,center-bottom
8896,st paul's cathedral,center-bottom
8897,st petersburg,center
8898,st. augustine,top
8899,st. bede,top
8900,st. francis of assisi,top
8901,st. hilda,top
8902,st. lawrence seaway,top
8903,st. lucia,center-top
8904,st. lucian,bottom
8905,st. paul,center
8906,st. paul's,center
8907,st. petersburg,top
8908,st. vincent,bottom
8909,st. vincent and the grenadines,top
8910,st.columba,center
8911,st. helena,center-bottom
8912,st. petersburg,center
8913,stable habitable zone,bottom
8914,staff,center-bottom
8915,stag beetle,bottom
8916,stage,top
8917,stage shows,top
8918,stage theory of moral development,top
8919,stained glass,top
8920,stalin,top
8921,stalingrad,bottom
8922,stamps,center-bottom
8923,stand-up bass,center-top
8924,standard german,top
8925,stanisław koniecpolski,bottom
8926,stanley,center-top
8927,stanley baldwin,center
8928,star,top
8929,star anise,center-top
8930,star systems,top
8931,star trek,top
8932,star trek: deep space nine,center-bottom
8933,star trek: the original series,center
8934,star wars,bottom
8935,star wars episode iv: a new hope,top
8936,stargate sg-1,bottom
8937,starred,top
8938,stars,top
8939,starship troopers,center-bottom
8940,state,top
8941,state capital,top
8942,state government,center
8943,state of israel,top
8944,state of matter,top
8945,state of west virginia,center-bottom
8946,state union of serbia and montenegro,center-top
8947,statehood,top
8948,states,top
8949,statistical,bottom
8950,statistical analysis,top
8951,statistics,top
8952,steam engine,top
8953,steam engines,top
8954,steam power,center-top
8955,steel,top
8956,steels,top
8957,stefan edberg,center
8958,stegosaurus,center-top
8959,stellar,center
8960,stem cell,center-bottom
8961,stem cells,bottom
8962,stem form,bottom
8963,step cut,center-top
8964,stephen,center-top
8965,stephen gould,center
8966,stephen harper,bottom
8967,stephen hawking,center-bottom
8968,stephen jay gould,top
8969,stephen jay gould's,top
8970,stephen of blois,center-bottom
8971,stephen of england,top
8972,sterling,center
8973,still game,bottom
8974,stingray,center-bottom
8975,stingrays,center
8976,stock,center-top
8977,stock cars,top
8978,stock prices,center-bottom
8979,stockholm,center-bottom
8980,stocks,bottom
8981,stoic,top
8982,stoically,center
8983,stoicism,top
8984,stoics,center-top
8985,stone age,top
8986,stonehenge,bottom
8987,stop press,center
8988,storm,top
8989,stornoway,bottom
8990,strait of malacca,center-top
8991,strategy for aids orphans,center
8992,stratford-upon-avon,center-top
8993,stravinsky,center-bottom
8994,stravinsky's,center-top
8995,street children,center-top
8996,string theory,bottom
8997,strings,bottom
8998,stroke,center-bottom
8999,strokes,top
9000,strontium,center-bottom
9001,structure of atoms,center-top
9002,structure of dna,center-bottom
9003,struggle for independence,top
9004,sts-51-l,center-bottom
9005,studded,center
9006,student protests,center-top
9007,study of fossils,top
9008,stuttering,center-top
9009,stuttgart,center-top
9010,stuttgart-bad cannstatt,center-bottom
9011,styracosaurus,center
9012,sub-dialects,center-top
9013,sub-saharan,center
9014,sub-saharan africa,top
9015,sub-saharan african,top
9016,sub-saharan africans,bottom
9017,sublunar,center-bottom
9018,substance dualists,top
9019,substitutions,center
9020,successes,top
9021,successful bid for the english crown,center-bottom
9022,successor,top
9023,sucre,top
9024,sudan,bottom
9025,sudan child sponsorship,center-bottom
9026,sudanese,center-bottom
9027,sudanic,center
9028,suez,center-bottom
9029,suez canal,top
9030,suffrage,center-top
9031,suffrages,center-top
9032,sugar,top
9033,sugar beet,center-top
9034,sugar beets,top
9035,sugar-beet,top
9036,sugarcane,top
9037,sugars,top
9038,suggested pronunciation,center
9039,suggestions for activities,center
9040,suleiman i,center-top
9041,suleiman the magnificent,center-bottom
9042,sulfur,top
9043,sulfuric,center-top
9044,sulfuric acid,center-top
9045,sulfurous,center-top
9046,sulfurs,center-top
9047,sullivan,center-bottom
9048,sulphuric acid,bottom
9049,sultan,top
9050,sultanate,top
9051,sultans,top
9052,sumac,bottom
9053,sumacs,center
9054,sumatra,top
9055,sumatran,center-bottom
9056,sumer,top
9057,sumerian,top
9058,sumerian civilization,center-top
9059,sumerians,top
9060,summer,center-top
9061,summer olympic games,bottom
9062,summers,top
9063,sumo,bottom
9064,sun,top
9065,sun tzu,center-top
9066,sun yat-sen,top
9067,sun zi,center-bottom
9068,sun-like,top
9069,sundew,center
9070,sundews,center
9071,sunflower,center-bottom
9072,sunflowers,center
9073,sunlight,center-top
9074,sunlike,top
9075,sunny,center-top
9076,sunset boulevard,center
9077,super 12,center
9078,super 14,center-bottom
9079,super bowl xl,bottom
9080,super chief,top
9081,super mario,bottom
9082,super mario 64,bottom
9083,super mario bros.,top
9084,super rugby,top
9085,superconducting,center-top
9086,superconduction,center
9087,superconductive,center-top
9088,superconductivity,bottom
9089,superconductor,top
9090,superconductors,top
9091,superfamily,top
9092,superior,center-top
9093,superman,bottom
9094,supermarine spitfire,bottom
9095,supply and demand,center
9096,supply chain management,center-bottom
9097,supply curve,center-top
9098,supply side,center-bottom
9099,supporter groups page,center-top
9100,supreme court,center-top
9101,supreme court of the united states,center-bottom
9102,surinam,top
9103,suriname,top
9104,surinamese,center-bottom
9105,surtsey,center
9106,sustainable economy,top
9107,sutton hoo,center
9108,svalbard,center
9109,swan,center-top
9110,swans,top
9111,swastika,bottom
9112,swastikas,center-top
9113,swaziland,bottom
9114,swaziland child sponsorship,center-bottom
9115,sweden,bottom
9116,swedes,center
9117,swedish,top
9118,swelling,center-top
9119,swifts,center-bottom
9120,swine,center
9121,swiss,center
9122,swiss confederation,center-top
9123,swiss frontier,top
9124,swiss-born,bottom
9125,switzerland,top
9126,sword in a stone,center-top
9127,swords,bottom
9128,sydney,top
9129,sydney newman,top
9130,symmetric,center-top
9131,symmetrical,center-bottom
9132,symmetry,top
9133,symmetry in biology,top
9134,synapse,center
9135,synapses,top
9136,synthesizer,top
9137,synthesizers,center-bottom
9138,syria,bottom
9139,syria child sponsorship,center-bottom
9140,syrian,center-bottom
9141,syrians,center
9142,systematics,center-top
9143,são paulo,top
9144,são tomé,center
9145,são tomé and príncipe,center-bottom
